Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,discount_ratio,weight_per_purchase,rating_x_calls,Product_importance_num,important_discount,log_cost,log_weight,calls_bin,rating_bin
A,Ship,3,5,261,3,medium,M,15,2989,1,0.05747126216585203,747.25,15,2,30,5.568344503761097,8.003028666384733,Medium,Good
D,Ship,5,1,285,4,medium,F,10,1428,0,0.035087718067097616,285.6,5,2,20,5.655991810819852,7.264730177929867,High,Bad
F,Ship,4,4,226,2,high,M,53,3154,1,0.23451326395959007,1051.3333333333333,16,3,159,5.424950017481403,8.056743774975313,Medium,Neutral
B,Ship,4,1,300,5,medium,M,6,1027,0,0.01999999933333336,171.16666666666666,4,2,12,5.707110264748875,6.93537044601511,Medium,Bad
B,Ship,4,5,194,8,medium,F,9,4843,1,0.04639175018599226,538.1111111111111,20,2,18,5.272999558563747,8.485496104672983,Medium,Good
B,Ship,3,5,204,4,low,M,6,4879,1,0.02941176326412925,975.8,15,1,6,5.3230099791384085,8.492900498847193,Medium,Good
A,Flight,4,5,259,2,medium,M,15,2381,1,0.057915055678955385,793.6666666666666,20,2,30,5.560681631015528,7.775695749915245,Medium,Good
D,Ship,3,3,230,3,medium,F,2,4742,1,0.008695651795841227,1185.5,9,2,4,5.442417710521793,8.464425125877582,Medium,Neutral
F,Ship,5,2,172,5,medium,F,5,4805,0,0.029069765751757806,800.8333333333334,10,2,10,5.153291594497779,8.477620416296414,High,Bad
C,Ship,5,4,263,4,low,F,10,1995,0,0.038022812242478624,399.0,20,1,10,5.575949103146316,7.59890045687141,High,Neutral
A,Ship,4,1,143,2,medium,F,5,4057,0,0.034965032519927795,1352.3333333333333,4,2,10,4.969813299576001,8.30844552038576,Medium,Bad
F,Ship,2,4,181,6,medium,F,16,3605,1,0.08839778517139309,515.0,8,2,32,5.204006687076795,8.190354403763262,Low,Neutral
F,Ship,3,4,162,3,medium,M,7,5313,0,0.04320987387593371,1328.25,12,2,14,5.093750200806762,8.57810012631976,Medium,Neutral
F,Ship,4,5,135,3,medium,F,6,5266,1,0.04444444115226362,1316.5,20,2,12,4.912654885736052,8.569216219483389,Medium,Good
F,Ship,3,2,154,3,low,F,56,1136,1,0.3636363400236143,284.0,6,1,56,5.043425116919247,7.036148493750536,Medium,Bad
F,Ship,5,2,183,5,high,F,8,4820,0,0.04371584460569155,803.3333333333334,10,3,24,5.214935757608986,8.480736654405622,High,Bad
A,Road,4,3,152,2,medium,M,18,1537,1,0.11842104484072073,512.3333333333334,12,2,36,5.030437921392435,7.338238150065589,Medium,Neutral
C,Flight,5,1,253,5,low,M,31,3836,1,0.12252963942570595,639.3333333333334,5,1,31,5.537334267018537,8.252446090246952,High,Bad
D,Flight,5,1,179,2,high,M,8,5301,1,0.044692734933366764,1767.0,5,3,24,5.19295685089021,8.57583938684897,High,Bad
C,Ship,3,4,148,10,high,F,12,1779,1,0.08108107560263003,161.72727272727272,12,3,36,5.003946305945459,7.484368643286131,Medium,Neutral
B,Ship,5,1,225,2,medium,M,31,3454,1,0.13777777165432126,1151.3333333333333,5,2,62,5.420534999272286,8.14757773620177,High,Bad
F,Ship,3,4,173,2,low,M,5,4402,0,0.02890173243342587,1467.3333333333333,12,1,5,5.159055299214529,8.390041405755754,Medium,Neutral
C,Flight,5,4,217,2,low,M,2,5469,1,0.009216589437023527,1823.0,20,1,2,5.384495062789089,8.607033895416027,High,Neutral
B,Ship,4,5,227,5,low,F,2,1804,1,0.008810572299093732,300.6666666666667,20,1,2,5.429345628954441,7.498315870766981,Medium,Good
B,Flight,3,1,104,2,low,M,1,1021,1,0.009615383690828492,340.3333333333333,3,1,1,4.653960350157523,6.92951677076365,Medium,Bad
F,Ship,5,1,216,10,medium,F,2,5672,0,0.009259258830589869,515.6363636363636,5,2,4,5.37989735354046,8.643473357326567,High,Bad
B,Road,7,1,309,4,low,F,4,1151,0,0.012944983399838727,230.2,7,1,4,5.736572297479192,7.049254841255837,High,Bad
C,Ship,3,4,236,4,medium,M,2,1016,0,0.00847457591209424,203.2,12,2,4,5.4680601411351315,6.92461239604856,Medium,Neutral
C,Flight,2,1,156,3,medium,M,3,5937,0,0.01923076799802769,1484.25,2,2,6,5.056245805348308,8.689127655323706,Low,Bad
F,Ship,4,5,233,4,low,F,6,1495,0,0.025751071856177175,299.0,20,1,6,5.455321115357702,7.310550158534422,Medium,Good
D,Ship,4,4,162,10,high,M,12,1583,1,0.07407406950160064,143.9090909090909,16,3,36,5.093750200806762,7.367708572374371,Medium,Neutral
D,Ship,5,2,139,4,low,F,9,5070,1,0.06474819678070527,1014.0,10,1,9,4.941642422609304,8.531293315795018,High,Bad
F,Ship,6,4,284,4,low,M,7,1584,0,0.02464788645606034,316.8,24,1,7,5.652489180268651,7.368339686311381,High,Neutral
F,Ship,3,3,152,3,medium,M,5,1385,1,0.03289473467797798,346.25,9,2,10,5.030437921392435,7.234177179749849,Medium,Neutral
F,Ship,4,1,171,3,low,F,58,1516,1,0.3391812667145458,379.0,4,1,58,5.147494476813453,7.324489979348532,Medium,Bad
A,Road,3,5,139,2,medium,M,64,1857,1,0.4604316215516819,619.0,15,2,128,4.941642422609304,7.527255919373784,Medium,Good
A,Ship,3,4,203,3,medium,M,1,5543,0,0.004926108131718811,1385.75,12,2,2,5.318119993844216,8.620471540869739,Medium,Neutral
A,Road,5,2,269,6,medium,F,5,1097,0,0.018587359903815617,156.71428571428572,10,2,10,5.598421958998375,7.001245622069476,High,Bad
F,Flight,4,2,172,3,medium,F,59,1858,1,0.34302323587074207,464.5,8,2,118,5.153291594497779,7.527793987721444,Medium,Bad
A,Ship,3,5,268,3,low,F,6,4172,1,0.022388058866117208,1043.0,15,1,6,5.594711379601839,8.336390480591552,Medium,Good
A,Ship,3,2,144,4,medium,M,8,4867,1,0.05555555169753113,973.4,6,2,16,4.976733742420574,8.490438454107418,Medium,Bad
C,Ship,3,2,231,4,medium,M,4,5510,0,0.01731601656640621,1102.0,6,2,8,5.44673737166631,8.614501373883236,Medium,Bad
A,Flight,4,5,273,5,low,M,2,1441,0,0.00732600705765542,240.16666666666666,20,1,2,5.6131281063880705,7.273786317844895,Medium,Good
F,Flight,3,2,243,2,low,F,38,3850,1,0.15637859438771215,1283.3333333333333,6,1,38,5.497168225293202,8.25608813381491,Medium,Bad
B,Ship,3,2,270,3,medium,M,9,5873,1,0.03333333209876548,1468.25,6,2,18,5.602118820879701,8.678291111758565,Medium,Bad
D,Ship,3,5,115,3,medium,M,60,1122,1,0.5217390850661665,280.5,15,2,120,4.7535901911063645,7.023758954738443,Medium,Good
D,Flight,2,1,112,5,low,F,1,4543,0,0.008928570631377622,757.1666666666666,2,1,1,4.727387818712341,8.421562960400987,Low,Bad
D,Ship,4,4,229,5,low,M,7,1049,1,0.030567684254686277,174.83333333333334,16,1,7,5.438079308923196,6.956545443151569,Medium,Neutral
F,Ship,4,1,245,5,low,F,3,1537,0,0.01224489745939194,256.1666666666667,4,1,3,5.5053315359323625,7.338238150065589,Medium,Bad
A,Ship,2,3,274,4,medium,F,10,4798,1,0.03649634903297996,959.6,6,2,20,5.616771097666572,8.476162841858246,Low,Neutral
F,Ship,3,5,162,3,medium,F,1,4432,0,0.0061728391251333874,1108.0,15,2,2,5.093750200806762,8.396831834745054,Medium,Good
B,Ship,6,5,294,4,medium,M,10,1628,1,0.034013604285251554,325.6,30,2,20,5.68697535633982,7.395721608602045,High,Good
B,Ship,4,4,259,3,low,F,8,4223,1,0.03088802969544287,1055.75,16,1,8,5.560681631015528,8.348537825386098,Medium,Neutral
A,Road,3,3,218,4,medium,F,4,1678,1,0.018348623011531055,335.6,9,2,8,5.389071729816501,7.425953657077541,Medium,Neutral
A,Ship,4,1,247,2,low,M,3,4113,0,0.012145748496123543,1371.0,4,1,3,5.5134287461649825,8.322151070212902,Medium,Bad
D,Ship,5,3,267,6,low,F,8,1421,1,0.02996254569428668,203.0,15,1,8,5.5909869805108565,7.259819610363186,High,Neutral
A,Ship,5,2,215,6,medium,F,5,5195,1,0.023255812871822656,742.1428571428571,10,2,10,5.375278407684165,8.55564437779049,High,Bad
D,Ship,3,2,245,2,low,F,7,4692,0,0.02857142740524786,1564.0,6,1,7,5.5053315359323625,8.453827315794417,Medium,Bad
D,Ship,2,2,182,3,high,M,6,4112,1,0.032967031155657626,1028.0,4,3,18,5.209486152841421,8.321907968230423,Low,Bad
B,Road,4,4,206,3,medium,F,33,2804,1,0.16019416698086567,701.0,16,2,66,5.332718793265369,7.9391588179567965,Medium,Neutral
D,Ship,5,2,241,3,low,M,39,3743,1,0.16182571942631868,935.75,10,1,39,5.488937726156687,8.227909837597483,High,Bad
F,Ship,3,5,251,4,medium,F,3,5215,1,0.011952190758876862,1043.0,15,2,6,5.529429087511423,8.559486103606488,Medium,Good
D,Ship,5,4,180,2,low,F,9,5208,0,0.04999999722222238,1736.0,20,1,9,5.198497031265826,8.558143177745192,High,Neutral
B,Ship,5,4,211,4,low,F,4,4498,1,0.018957345073111607,899.6,20,1,4,5.356586274672012,8.411610428841172,High,Neutral
F,Road,5,1,199,2,medium,M,7,4660,1,0.035175877629352884,1553.3333333333333,5,2,14,5.298317366548036,8.446985296372741,High,Bad
B,Ship,5,1,245,3,low,F,9,4694,0,0.03673469237817582,1173.5,5,1,9,5.5053315359323625,8.454253391642363,High,Bad
A,Ship,4,3,145,4,medium,M,2,5735,0,0.013793102497027414,1147.0,12,2,4,4.983606621708336,8.654517382279456,Medium,Neutral
A,Ship,3,4,165,3,high,M,10,4910,0,0.060606056932966244,1227.5,12,3,30,5.111987788356544,8.499232866039245,Medium,Neutral
F,Flight,4,1,247,3,low,F,9,2414,1,0.03643724548837063,603.5,4,1,9,5.5134287461649825,7.789454566086673,Medium,Bad
B,Ship,3,2,274,2,high,M,2,5029,0,0.007299269806595993,1676.3333333333333,6,3,6,5.616771097666572,8.523175263093785,Medium,Bad
B,Flight,4,4,223,5,medium,M,4,1344,0,0.01793721892658211,224.0,16,2,8,5.4116460518550396,7.20414929203594,Medium,Neutral
A,Flight,3,4,174,3,low,F,3,5366,1,0.017241378319461015,1341.5,12,1,3,5.1647859739235145,8.588024372176829,Medium,Neutral
A,Ship,4,5,245,3,low,F,7,4297,0,0.02857142740524786,1074.25,20,1,7,5.5053315359323625,8.365905077202456,Medium,Good
A,Ship,4,1,173,2,medium,M,53,1251,1,0.30635836379431425,417.0,4,2,106,5.159055299214529,7.132497551660044,Medium,Bad
A,Ship,3,4,179,4,low,F,44,1004,1,0.2458100421335172,200.8,12,1,44,5.19295685089021,6.912742820493176,Medium,Neutral
F,Ship,5,4,211,2,medium,F,7,4734,0,0.03317535387794531,1578.0,20,2,14,5.356586274672012,8.462737005620179,High,Neutral
F,Flight,4,3,132,4,medium,M,10,1767,1,0.0757575700183659,353.4,12,2,20,4.890349128221754,7.477604243197589,Medium,Neutral
F,Ship,6,4,255,4,low,F,3,1569,1,0.011764705420991945,313.8,24,1,3,5.545177444479562,7.358830898342354,High,Neutral
A,Road,6,2,304,4,low,M,2,1256,1,0.006578947152008318,251.2,12,1,2,5.720311776607412,7.136483208590247,High,Bad
A,Ship,4,1,191,2,low,F,4,5851,1,0.020942407280502236,1950.3333333333333,4,1,4,5.2574953720277815,8.674538762140015,Medium,Bad
B,Ship,3,4,175,3,low,M,6,5503,0,0.03428571232653072,1375.75,12,1,6,5.170483995038151,8.61323037961318,Medium,Neutral
A,Ship,4,3,149,3,medium,F,1,1448,1,0.0067114089455430235,362.0,12,2,2,5.0106352940962555,7.278628942320682,Medium,Neutral
B,Ship,3,2,294,4,low,F,15,1318,1,0.051020406427877335,263.6,6,1,15,5.68697535633982,7.1846291527173145,Medium,Bad
F,Flight,4,5,98,4,low,M,5,5188,0,0.05102040295710174,1037.6,20,1,5,4.59511985013459,8.55429627936774,Medium,Good
F,Ship,3,2,159,3,medium,F,4,1681,1,0.02515723112218672,420.25,6,2,8,5.075173815233827,7.427738840532894,Medium,Bad
F,Ship,4,4,201,2,low,F,1,3147,1,0.004975124130590839,1049.0,16,1,1,5.308267697401205,8.054522609537294,Medium,Neutral
F,Flight,4,2,151,2,medium,M,6,4987,0,0.039735096706284986,1662.3333333333333,8,2,12,5.0238805208462765,8.514790306799927,Medium,Bad
D,Flight,7,1,280,5,low,M,10,1199,1,0.035714284438775556,199.83333333333334,7,1,10,5.638354669333745,7.090076835776092,High,Bad
A,Ship,4,5,255,4,low,M,14,3099,1,0.05490195863129574,619.8,20,1,14,5.545177444479562,8.039157390473237,Medium,Good
F,Ship,3,1,207,4,low,M,9,4252,0,0.04347825876916624,850.4,3,1,9,5.337538079701318,8.355379895253634,Medium,Bad
B,Flight,4,3,262,2,medium,F,3,4064,1,0.011450381242351862,1354.6666666666667,12,2,6,5.572154032177765,8.310169021981912,Medium,Neutral
C,Ship,4,1,258,4,low,M,5,5664,0,0.01937984421008356,1132.8,4,1,5,5.556828061699537,8.642062173462106,Medium,Bad
D,Road,6,5,245,4,low,M,3,1716,0,0.01224489745939194,343.2,30,1,3,5.5053315359323625,7.448333860897476,High,Good
A,Road,4,5,204,3,medium,F,4,5476,0,0.019607842176086167,1369.0,20,2,8,5.3230099791384085,8.608312784783722,Medium,Good
F,Road,4,2,212,3,low,F,3,4555,0,0.014150942728729117,1138.75,8,1,3,5.3612921657094255,8.424200324567073,Medium,Bad
F,Ship,4,4,175,3,low,M,8,5944,1,0.04571428310204097,1486.0,16,1,8,5.170483995038151,8.690305809124883,Medium,Neutral
A,Ship,2,5,247,4,medium,M,4,5255,1,0.016194331328164724,1051.0,10,2,8,5.5134287461649825,8.567125560164447,Low,Good
B,Ship,6,5,289,4,low,M,5,1600,1,0.017301037463631923,320.0,30,1,5,5.66988092298052,7.3783837129967145,High,Good
A,Road,2,4,198,3,low,M,37,2555,1,0.18686867743087487,638.75,8,1,37,5.293304824724492,7.846198815497425,Low,Neutral
F,Road,5,5,171,2,high,M,8,4602,0,0.04678362299510976,1534.0,25,3,24,5.147494476813453,8.434463543817241,High,Good
C,Ship,5,5,242,4,medium,F,2,5359,0,0.008264462468410642,1071.8,25,2,4,5.493061443340548,8.586719254064848,High,Good
B,Road,3,5,251,2,low,F,28,3936,1,0.11155378041618405,1312.0,15,1,28,5.529429087511423,8.278174290943738,Medium,Good
F,Ship,4,1,268,4,medium,F,2,4543,0,0.007462686288705736,908.6,4,2,4,5.594711379601839,8.421562960400987,Medium,Bad
A,Flight,3,4,212,3,medium,F,13,2307,1,0.061320751824492835,576.75,12,2,26,5.3612921657094255,7.744136627627991,Medium,Neutral
F,Flight,4,2,241,2,low,M,17,3844,1,0.0705394161601902,1281.3333333333333,8,1,17,5.488937726156687,8.254528881939745,Medium,Bad
C,Flight,4,4,258,3,medium,M,4,4578,0,0.015503875368066848,1144.5,16,2,8,5.556828061699537,8.429235912657095,Medium,Neutral
A,Ship,3,4,240,2,medium,F,2,5661,0,0.008333332986111126,1887.0,12,2,4,5.484796933490655,8.641532465671846,Medium,Neutral
F,Ship,5,1,181,3,low,F,3,5118,0,0.016574584719636205,1279.5,5,1,3,5.204006687076795,8.540714386457584,High,Bad
B,Flight,6,4,247,4,medium,M,2,1858,1,0.008097165664082362,371.6,24,2,4,5.5134287461649825,7.527793987721444,High,Neutral
A,Ship,6,3,252,2,low,M,6,1470,1,0.023809522864701473,490.0,18,1,6,5.53338948872752,7.293697720601438,High,Neutral
D,Road,4,4,271,6,high,M,3,5204,0,0.011070110292615858,743.4285714285714,16,3,9,5.605802066295998,8.557374981049069,Medium,Neutral
D,Road,5,1,180,3,low,F,2,5013,1,0.011111110493827195,1253.25,5,1,2,5.198497031265826,8.519989278718239,High,Bad
D,Ship,3,3,262,4,low,M,5,4782,0,0.019083968737253102,956.4,9,1,5,5.572154032177765,8.472823243680297,Medium,Neutral
C,Ship,5,5,149,7,medium,F,50,1346,1,0.3355704472771512,168.25,25,2,100,5.0106352940962555,7.205635176410364,High,Good
C,Ship,4,1,140,2,low,M,60,1950,1,0.42857139795918586,650.0,4,1,60,4.948759890378168,7.576097340623111,Medium,Bad
D,Flight,3,3,199,3,medium,F,1,4006,1,0.00502512537562184,1001.5,9,2,2,5.298317366548036,8.295798110636145,Medium,Neutral
C,Flight,5,3,167,2,low,M,3,1140,1,0.017964070780594563,380.0,15,1,3,5.123963979403259,7.039660349862076,High,Neutral
D,Ship,5,1,238,5,low,F,5,5854,0,0.02100840247863855,975.6666666666666,5,1,5,5.476463551931511,8.675051276031818,High,Bad
F,Ship,3,1,202,2,medium,F,7,4506,1,0.03465346363101665,1502.0,3,2,14,5.313205979041787,8.413387022690648,Medium,Bad
F,Ship,5,4,232,5,medium,M,5,1861,0,0.021551723208977448,310.1666666666667,20,2,10,5.4510384535657,7.529406457837013,High,Neutral
D,Ship,4,4,218,2,low,M,4,4104,1,0.018348623011531055,1368.0,16,1,4,5.389071729816501,8.31996102188653,Medium,Neutral
A,Ship,4,3,261,3,low,F,6,2787,1,0.02298850486634081,696.75,12,1,6,5.568344503761097,7.933079771880415,Medium,Neutral
A,Ship,2,4,126,5,medium,M,2,5461,0,0.015873014613252807,910.1666666666666,8,2,4,4.844187086458591,8.60557030203365,Low,Neutral
B,Ship,3,3,178,3,high,M,43,1517,1,0.24157302013634718,379.25,9,3,129,5.187385805840755,7.325148957955575,Medium,Neutral
D,Ship,3,3,218,3,medium,M,6,5288,1,0.027522934517296583,1322.0,9,2,12,5.389071729816501,8.57338447106598,Medium,Neutral
A,Ship,4,4,254,3,low,M,7,5637,0,0.02755905403310811,1409.25,16,1,7,5.541263545158426,8.637284671674058,Medium,Neutral
F,Ship,5,1,240,5,low,M,10,1373,1,0.041666664930555625,228.83333333333334,5,1,10,5.484796933490655,7.2254814727822945,High,Bad
F,Ship,3,3,147,8,medium,F,7,5822,0,0.04761904437965685,646.8888888888889,9,2,14,4.997212273764115,8.66957087183712,Medium,Neutral
F,Flight,6,3,266,4,low,F,9,1106,1,0.03383458519418853,221.2,18,1,9,5.58724865840025,7.009408932708637,High,Neutral
C,Ship,3,3,176,3,low,F,1,5168,0,0.005681817858987622,1292.0,9,1,1,5.176149732573829,8.550434525196039,Medium,Neutral
F,Ship,5,1,170,4,high,M,6,5258,1,0.03529411557093438,1051.6,5,3,18,5.14166355650266,8.567696173589344,High,Bad
B,Ship,4,3,218,2,medium,M,6,4414,1,0.027522934517296583,1471.3333333333333,12,2,12,5.389071729816501,8.392763113038061,Medium,Neutral
A,Ship,4,3,201,2,low,F,10,4875,0,0.04975124130590839,1625.0,12,1,10,5.308267697401205,8.492080490601163,Medium,Neutral
F,Ship,3,4,212,2,high,M,13,2733,1,0.061320751824492835,911.0,12,3,39,5.3612921657094255,7.913521017283895,Medium,Neutral
C,Ship,4,4,245,2,low,F,2,4297,1,0.00816326497292796,1432.3333333333333,16,1,2,5.5053315359323625,8.365905077202456,Medium,Neutral
D,Road,5,5,261,3,medium,F,8,3257,1,0.03065133982178775,814.25,25,2,16,5.568344503761097,8.08886878916199,High,Good
D,Ship,6,5,290,4,low,M,6,1929,0,0.020689654458977434,385.8,30,1,6,5.673323267171493,7.5652752818989315,High,Good
A,Ship,3,4,225,4,low,F,8,5209,0,0.03555555397530871,1041.8,12,1,8,5.420534999272286,8.558335134747413,Medium,Neutral
B,Ship,3,4,261,4,medium,F,7,5731,0,0.02681992234406428,1146.2,12,2,14,5.568344503761097,8.653819788948063,Medium,Neutral
A,Ship,4,2,271,3,low,M,9,4085,0,0.033210330877847576,1021.25,8,1,9,5.605802066295998,8.315321775377567,Medium,Bad
F,Flight,3,1,135,3,low,M,9,4511,0,0.06666666172839543,1127.75,3,1,9,4.912654885736052,8.414495793177895,Medium,Bad
A,Ship,5,4,248,4,medium,F,5,4271,1,0.020161289509625424,854.2,20,2,10,5.517452896464707,8.35983738064003,High,Neutral
F,Road,4,3,268,3,medium,F,23,2996,1,0.08582089232011597,749.0,12,2,46,5.594711379601839,8.005367067316664,Medium,Neutral
A,Ship,5,3,199,4,medium,F,8,5362,0,0.04020100300497472,1072.4,15,2,16,5.298317366548036,8.587278798982926,High,Neutral
F,Road,2,1,228,2,medium,M,10,4854,1,0.04385964719913828,1618.0,2,2,20,5.43372200355424,8.487764380725425,Low,Bad
F,Ship,2,5,180,6,medium,F,7,4907,1,0.03888888672839518,701.0,10,2,14,5.198497031265826,8.498621805830801,Low,Good
F,Ship,4,5,187,3,low,M,7,5022,1,0.037433153078441014,1255.5,20,1,7,5.236441962829949,8.521782643750045,Medium,Good
D,Ship,3,4,223,3,low,M,18,3959,1,0.0807174851696195,989.75,12,1,18,5.4116460518550396,8.283999304248526,Medium,Neutral
A,Flight,4,2,180,2,medium,F,10,5666,1,0.055555552469135974,1888.6666666666667,8,2,20,5.198497031265826,8.64241515616962,Medium,Bad
F,Road,5,4,195,2,low,M,4,3108,1,0.020512819460881054,1036.0,20,1,4,5.278114659230517,8.042056410058754,High,Neutral
F,Ship,4,5,228,2,low,M,63,3401,1,0.2763157773545712,1133.6666666666667,20,1,63,5.43372200355424,8.132118772955806,Medium,Good
F,Road,3,5,241,3,medium,M,10,5099,1,0.04149377421187659,1274.75,15,2,20,5.488937726156687,8.536995818712418,Medium,Good
B,Ship,4,4,156,2,low,F,5,5216,0,0.03205127999671282,1738.6666666666667,16,1,5,5.056245805348308,8.559677803022392,Medium,Neutral
D,Ship,6,1,276,2,low,M,10,5108,0,0.03623188274522164,1702.6666666666667,6,1,10,5.6240175061873385,8.538758969330798,High,Bad
A,Ship,4,3,258,2,low,F,3,4555,0,0.011627906526050136,1518.3333333333333,12,1,3,5.556828061699537,8.424200324567073,Medium,Neutral
D,Ship,3,3,245,2,medium,F,16,2577,1,0.06530611978342368,859.0,9,2,32,5.5053315359323625,7.8547691834991324,Medium,Neutral
A,Flight,4,2,163,4,medium,F,5,5751,0,0.030674844743874555,1150.2,8,2,10,5.099866427824199,8.657302899400882,Medium,Bad
D,Ship,3,3,259,3,medium,F,4,4259,0,0.015444014847721435,1064.75,9,2,8,5.560681631015528,8.357024439263416,Medium,Neutral
F,Flight,3,3,104,5,medium,F,41,1936,1,0.39423073132396813,322.6666666666667,9,2,82,4.653960350157523,7.5688956634069955,Medium,Neutral
F,Ship,5,2,219,4,low,F,7,4787,1,0.03196346886011558,957.4,10,1,7,5.393627546352362,8.473868066677865,High,Bad
F,Ship,4,1,255,5,low,F,9,1793,1,0.03529411626297583,298.8333333333333,4,1,9,5.545177444479562,7.492203042618741,Medium,Bad
B,Ship,4,5,239,5,low,F,7,1001,1,0.0292887017034016,166.83333333333334,20,1,7,5.480638923341991,6.90975328164481,Medium,Good
D,Flight,3,4,174,3,low,F,10,4998,1,0.05747126106487005,1249.5,12,1,10,5.1647859739235145,8.51699317141357,Medium,Neutral
B,Flight,4,3,240,3,low,F,8,4423,0,0.0333333319444445,1105.75,12,1,8,5.484796933490655,8.39479954320217,Medium,Neutral
F,Flight,5,5,273,3,medium,F,18,2415,1,0.06593406351889877,603.75,25,2,36,5.6131281063880705,7.789868559054706,High,Good
A,Ship,6,5,206,2,low,F,6,5646,1,0.029126212178339213,1882.0,30,1,6,5.332718793265369,8.638879709672837,High,Good
A,Ship,3,1,250,3,low,F,7,4760,0,0.027999998880000043,1190.0,3,1,7,5.5254529391317835,8.46821300919452,Medium,Bad
F,Road,4,5,268,6,medium,F,7,4709,0,0.026119402010470076,672.7142857142857,20,2,14,5.594711379601839,8.457443187010464,Medium,Good
D,Ship,3,4,209,2,high,F,5,4363,0,0.02392344383141417,1454.3333333333333,12,3,15,5.3471075307174685,8.381144346952961,Medium,Neutral
D,Ship,3,3,162,3,low,M,3,1693,1,0.01851851737540016,423.25,9,1,3,5.093750200806762,7.434847875211999,Medium,Neutral
B,Ship,2,3,226,3,medium,M,8,5106,1,0.03539822852220228,1276.5,6,2,16,5.424950017481403,8.538367426647644,Low,Neutral
D,Flight,7,4,296,4,low,F,10,1033,0,0.03378378264243978,206.6,28,1,10,5.6937321388027,6.9411900550683745,High,Neutral
A,Ship,4,1,216,3,low,F,43,2643,1,0.19907406485768217,660.75,4,1,43,5.37989735354046,7.880048200971577,Medium,Bad
D,Ship,4,4,251,5,medium,F,2,1329,1,0.007968127172584575,221.5,16,2,4,5.529429087511423,7.1929342212158,Medium,Neutral
C,Ship,5,5,226,4,low,F,10,5676,1,0.04424778565275285,1135.2,25,1,10,5.424950017481403,8.644178203170727,High,Good
F,Ship,3,5,150,2,medium,M,10,5187,0,0.06666666222222252,1729.0,15,2,20,5.017279836814924,8.554103545436334,Medium,Good
B,Ship,4,4,141,3,low,M,22,1735,1,0.15602835772848525,433.75,16,1,22,4.955827057601261,7.459338895220296,Medium,Neutral
A,Ship,4,3,197,4,medium,M,9,4429,0,0.04568527686876767,885.8,12,2,18,5.288267030694535,8.39615486303918,Medium,Neutral
F,Flight,3,4,171,3,medium,F,5,4310,1,0.029239764371943602,1077.5,12,2,10,5.147494476813453,8.368925174747135,Medium,Neutral
D,Road,4,5,268,3,medium,F,3,2758,1,0.011194029433058604,689.5,20,2,6,5.594711379601839,7.922623574217286,Medium,Good
C,Ship,5,4,145,4,low,M,4,4790,0,0.027586204994054828,958.0,20,1,4,4.983606621708336,8.474494436883122,High,Neutral
A,Ship,3,3,234,3,low,F,8,4839,1,0.03418803272700715,1209.75,9,1,8,5.459585514144159,8.484669999710677,Medium,Neutral
B,Ship,4,1,257,3,low,M,47,1308,1,0.18287937031597784,327.0,4,1,47,5.552959584921617,7.1770187659099,Medium,Bad
F,Ship,3,3,188,4,medium,M,3,3075,1,0.015957445959710322,615.0,9,2,6,5.241747015059643,8.031385330625534,Medium,Neutral
A,Flight,3,4,255,4,low,M,10,4107,0,0.03921568473663981,821.4,12,1,10,5.545177444479562,8.32069157104845,Medium,Neutral
D,Ship,4,2,227,5,medium,M,6,4618,0,0.026431716897281195,769.6666666666666,8,2,12,5.429345628954441,8.437933510430605,Medium,Bad
F,Ship,6,1,250,4,medium,M,5,1747,0,0.01999999920000003,349.4,6,2,10,5.5254529391317835,7.466227556215481,High,Bad
D,Ship,5,5,191,2,high,M,34,2708,1,0.178010461884269,902.6666666666666,25,3,102,5.2574953720277815,7.904334842085095,High,Good
C,Road,3,5,129,3,medium,F,52,1513,1,0.40310074394567874,378.25,15,2,104,4.867534450455582,7.322510433997394,Medium,Good
C,Ship,5,3,156,4,low,F,9,4098,0,0.05769230399408307,819.6,15,1,9,5.056245805348308,8.318498320504338,High,Neutral
B,Ship,3,4,172,3,low,M,32,1943,1,0.18604650081124996,485.75,12,1,32,5.153291594497779,7.572502985020384,Medium,Neutral
F,Ship,3,3,268,10,medium,M,2,5626,1,0.007462686288705736,511.45454545454544,9,2,4,5.594711379601839,8.635331719433278,Medium,Neutral
F,Ship,5,5,168,3,low,F,6,4088,1,0.0357142835884355,1022.0,25,1,6,5.1298987149230735,8.316055720364643,High,Good
B,Ship,6,1,300,4,medium,F,2,1790,1,0.0066666664444444525,358.0,6,2,4,5.707110264748875,7.490529402060711,High,Bad
F,Flight,4,1,215,2,low,M,32,3066,1,0.148837202379665,1022.0,4,1,32,5.375278407684165,8.028455164114252,Medium,Bad
F,Road,3,1,201,6,medium,M,10,5077,1,0.04975124130590839,725.2857142857143,3,2,20,5.308267697401205,8.532672762264625,Medium,Bad
F,Ship,3,4,271,2,low,M,14,2163,1,0.051660514698874,721.0,12,1,14,5.605802066295998,7.679713639966372,Medium,Neutral
B,Ship,6,3,221,10,medium,F,13,2219,1,0.05882352675006666,201.72727272727272,18,2,26,5.402677381872279,7.705262474866325,High,Neutral
